Stop Name,Arrival Time
Vozovna Pisárky,04:31:00
ARENA BRNO,04:32:00
BREAK,BREAK
ARENA BRNO,04:33:00
Pisárky,04:35:00
Bráfova,04:37:00
Stránského,04:38:00
BREAK,BREAK
Vozovna Komín,04:40:00
Svratecká,04:41:00
Branka,04:42:00
Podlesí,04:43:00
Kamenolom,04:44:00
"Bystrc, ZOO",04:46:00
Přístaviště,04:47:00
"Bystrc, Rakovecká - výstup",04:49:00
BREAK,BREAK
"Bystrc, Rakovecká - nástup",04:53:00
Přístaviště,04:54:00
"Bystrc, ZOO",04:56:00
Kamenolom,04:57:00
Podlesí,04:58:00
Branka,04:59:00
Svratecká,05:00:00
Vozovna Komín,05:02:00
Sochorova,05:03:00
Rosického náměstí,05:04:00
Mozolky,05:05:00
Burianovo náměstí,05:06:00
Tábor,05:07:00
Rybkova,05:09:00
Konečného náměstí,05:11:00
Grohova,05:12:00
Česká,05:15:00
Moravské náměstí,05:16:00
Náměstí 28. října,05:17:00
Dětská nemocnice,05:18:00
Jugoslávská,05:20:00
Vojenská nemocnice,05:23:00
Kuldova,05:24:00
Stará osada - výstup,05:26:00
BREAK,BREAK
Stará osada - nástup,05:47:00
Kuldova,05:48:00
Vojenská nemocnice,05:49:00
Jugoslávská,05:52:00
Dětská nemocnice,05:53:00
Náměstí 28. října,05:54:00
Moravské náměstí,05:56:00
Česká,05:59:00
Grohova,06:00:00
Konečného náměstí,06:02:00
Rybkova,06:03:00
Tábor,06:05:00
Králova,06:06:00
Burianovo náměstí,06:07:00
Mozolky,06:08:00
Rosického náměstí,06:09:00
Sochorova,06:10:00
Vozovna Komín,06:12:00
Svratecká,06:13:00
Branka,06:14:00
Podlesí,06:15:00
Kamenolom,06:16:00
"Bystrc, ZOO",06:18:00
Přístaviště,06:19:00
"Bystrc, Rakovecká - výstup",06:21:00
BREAK,BREAK
"Bystrc, Rakovecká - nástup",06:37:00
Přístaviště,06:38:00
"Bystrc, ZOO",06:40:00
Kamenolom,06:41:00
Podlesí,06:42:00
Branka,06:43:00
Svratecká,06:44:00
Vozovna Komín,06:46:00
Sochorova,06:46:00
Rosického náměstí,06:48:00
Mozolky,06:49:00
Burianovo náměstí,06:50:00
Tábor,06:51:00
Rybkova,06:53:00
Konečného náměstí,06:55:00
Grohova,06:56:00
Česká,06:59:00
Moravské náměstí,07:00:00
Náměstí 28. října,07:01:00
Dětská nemocnice,07:02:00
Jugoslávská,07:04:00
Vojenská nemocnice,07:07:00
Kuldova,07:08:00
Stará osada - výstup,07:10:00
BREAK,BREAK
Stará osada - nástup,07:21:00
Kuldova,07:22:00
Vojenská nemocnice,07:23:00
Jugoslávská,07:26:00
Dětská nemocnice,07:28:00
Náměstí 28. října,07:29:00
Moravské náměstí,07:31:00
Česká,07:34:00
Grohova,07:35:00
Konečného náměstí,07:37:00
Rybkova,07:38:00
Tábor,07:40:00
Králova,07:41:00
Burianovo náměstí,07:42:00
Mozolky,07:43:00
Rosického náměstí,07:44:00
Sochorova,07:45:00
Vozovna Komín,07:47:00
Svratecká,07:48:00
Branka,07:49:00
Podlesí,07:50:00
Kamenolom,07:51:00
"Bystrc, ZOO",07:53:00
Přístaviště,07:54:00
"Bystrc, Rakovecká - výstup",07:56:00
BREAK,BREAK
"Bystrc, Rakovecká - nástup",08:11:00
Přístaviště,08:12:00
"Bystrc, ZOO",08:14:00
Kamenolom,08:15:00
Podlesí,08:16:00
Branka,08:17:00
Svratecká,08:18:00
Vozovna Komín,08:20:00
Sochorova,08:21:00
Rosického náměstí,08:22:00
Mozolky,08:23:00
Burianovo náměstí,08:24:00
Tábor,08:25:00
Rybkova,08:27:00
Konečného náměstí,08:29:00
Grohova,08:30:00
Česká,08:33:00
Moravské náměstí,08:34:00
Náměstí 28. října,08:35:00
Dětská nemocnice,08:37:00
Jugoslávská,08:39:00
Vojenská nemocnice,08:42:00
Kuldova,08:43:00
Stará osada - výstup,08:45:00
BREAK,BREAK
Stará osada - nástup,08:51:00
Kuldova,08:52:00
Vojenská nemocnice,08:53:00
Jugoslávská,08:56:00
Dětská nemocnice,08:58:00
Náměstí 28. října,08:59:00
Moravské náměstí,09:01:00
Česká,09:04:00
Grohova,09:05:00
Konečného náměstí,09:07:00
Rybkova,09:08:00
Tábor,09:10:00
Králova,09:11:00
Burianovo náměstí,09:12:00
Mozolky,09:13:00
Rosického náměstí,09:14:00
Sochorova,09:15:00
Vozovna Komín,09:17:00
Svratecká,09:18:00
Branka,09:19:00
Podlesí,09:20:00
Kamenolom,09:21:00
"Bystrc, ZOO",09:23:00
Přístaviště,09:24:00
"Bystrc, Rakovecká - výstup",09:26:00
BREAK,BREAK
"Bystrc, Rakovecká - nástup",09:44:00
Přístaviště,09:45:00
"Bystrc, ZOO",09:47:00
Kamenolom,09:48:00
Podlesí,09:49:00
Branka,09:50:00
Svratecká,09:51:00
Vozovna Komín,09:53:00
Sochorova,09:54:00
Rosického náměstí,09:55:00
Mozolky,09:56:00
Burianovo náměstí,09:57:00
Tábor,09:58:00
Rybkova,10:00:00
Konečného náměstí,10:02:00
Grohova,10:03:00
Česká,10:06:00
Moravské náměstí,10:07:00
Náměstí 28. října,10:08:00
Dětská nemocnice,10:10:00
Jugoslávská,10:12:00
Vojenská nemocnice,10:15:00
Kuldova,10:16:00
Stará osada - výstup,10:18:00
BREAK,BREAK
Stará osada - nástup,10:31:00
Kuldova,10:32:00
Vojenská nemocnice,10:33:00
Jugoslávská,10:36:00
Dětská nemocnice,10:38:00
Náměstí 28. října,10:39:00
Moravské náměstí,10:41:00
Česká,10:44:00
Grohova,10:45:00
Konečného náměstí,10:47:00
Rybkova,10:48:00
Tábor,10:50:00
Králova,10:51:00
Burianovo náměstí,10:52:00
Mozolky,10:53:00
Rosického náměstí,10:54:00
Sochorova,10:55:00
Vozovna Komín,10:57:00
Svratecká,10:58:00
Branka,10:59:00
Podlesí,11:00:00
Kamenolom,11:01:00
"Bystrc, ZOO",11:03:00
Přístaviště,11:04:00
"Bystrc, Rakovecká - výstup",11:06:00
BREAK,BREAK
"Bystrc, Rakovecká - nástup",11:24:00
Přístaviště,11:25:00
"Bystrc, ZOO",11:27:00
Kamenolom,11:28:00
Podlesí,11:29:00
Branka,11:30:00
Svratecká,11:31:00
Vozovna Komín,11:33:00
Sochorova,11:34:00
Rosického náměstí,11:35:00
Mozolky,11:36:00
Burianovo náměstí,11:37:00
Tábor,11:38:00
Rybkova,11:40:00